DATE,Unnamed: 0,GROSS (bbls/d),NET (bbls/d),WATER (bbls/d),BS.W%
2023-05-31,0,1920.0,791.0,1129.0,58.8
2023-06-01,1,5607.0,1976.0,3631.0,64.76
2023-06-02,2,1723.0,386.0,1337.0,77.59
2023-06-03,3,505.6593982058554,35.01346016058164,469.8890070420301,72.79145027337069
2023-06-04,4,1323.0,489.0,833.0,63.0
2023-06-05,5,1598.0,591.0,1007.0,63.0
2023-06-06,6,1621.0,602.0,1019.0,62.86
2023-06-07,7,1599.0,621.0,978.0,61.18
2023-06-08,8,1636.0,643.0,993.0,60.69
2023-06-09,9,1583.0,619.0,964.0,60.91
2023-06-10,10,1571.0,617.0,954.0,60.71
2023-06-11,11,4384.0,2056.0,2328.0,53.1
2023-06-12,12,6650.0,3072.0,3578.0,53.8
2023-06-13,13,7294.0,3416.0,3878.0,53.17
2023-06-14,14,7545.0,3659.0,3885.0,51.5
2023-06-15,15,7483.0,3652.0,3831.0,51.2
2023-06-16,16,7416.0,3604.0,3812.0,51.4
2023-06-17,17,7396.0,3636.0,3760.0,50.84
2023-06-18,18,7460.0,3652.0,3809.0,51.05
2023-06-19,19,7212.0,3592.0,3620.0,50.19
2023-06-20,20,4111.0,1786.0,2325.0,56.56
2023-06-21,21,5472.0,2356.0,3116.0,56.95
2023-06-22,22,4955.0,2450.0,2505.0,50.56
2023-06-23,23,7371.0,3616.0,3756.0,50.95
2023-06-24,24,7600.0,3731.0,3869.0,50.91
2023-06-25,25,7540.0,3887.0,3652.0,48.44
2023-06-26,26,8170.0,4000.0,4170.0,51.04
2023-06-27,27,8511.0,4226.0,4285.0,50.35
2023-06-28,28,3520.0,1755.0,1765.0,50.14
2023-06-29,29,1418.9081270462436,1118.716854945639,299.4884809299291,28.02345530535867
2023-06-30,30,1848.0,1352.0,495.0,26.8
2023-07-01,31,1977.0,662.0,1315.0,66.5
2023-07-02,32,2066.0,922.0,1144.0,55.38
2023-07-03,33,2061.0,916.0,1144.0,55.53
2023-07-04,34,1989.0,885.0,1104.0,55.51
2023-07-05,35,1736.0,821.0,915.0,52.72
2023-07-06,36,1897.0,885.0,1012.0,53.37
2023-07-07,37,1580.0,737.0,843.0,53.37
2023-07-08,38,1678.0,771.0,907.0,54.06
2023-07-09,39,2173.0,1191.0,981.0,45.17
2023-07-10,40,2340.0,1785.0,555.0,23.7
2023-07-11,41,2164.0,1655.0,509.0,23.53
2023-07-12,42,2349.0,1847.0,502.0,21.36
2023-07-13,43,2278.0,1757.0,521.0,22.89
2023-07-14,44,2547.0,1964.0,583.0,22.89
2023-07-15,45,2855.0,2190.0,665.0,23.29
2023-07-16,46,2811.0,2185.0,626.0,22.28
2023-07-17,47,2816.0,2178.0,638.0,22.64
2023-07-18,48,5257.0,4047.0,1210.0,23.02
2023-07-19,49,9192.0,5981.0,3211.0,34.93
2023-07-20,50,9689.0,5369.0,4320.0,44.59
2023-07-21,51,9437.0,5198.0,4239.0,44.92
2023-07-22,52,9026.0,5034.0,3992.0,44.23
2023-07-23,53,9105.0,5399.0,3706.0,40.7
2023-07-24,54,3478.0,2055.0,1422.0,40.9
2023-07-25,55,2953.0661595126676,2053.4900130138,939.6208204760185,40.38556778141336
2023-07-26,56,3275.7397787954983,2052.3074244097406,1194.0765467760034,39.25836060890813
2023-07-27,57,3350.918520946502,2051.126431182119,1361.7194348350572,38.96252045046908
2023-07-28,58,3007.3446788501383,2050.2326339814085,1487.6749272080756,38.58725109397633
2023-07-29,59,3319.8549827096954,2049.3051506073443,1581.671496483191,38.45139154933076
2023-07-30,60,3258.9127241999704,2048.6338838846386,1651.8411453679741,38.32176518405592
2023-07-31,61,3071.570182514179,2047.9017455110438,1704.222856113176,38.264736458820245
2023-08-01,62,3324.693098476967,2047.4019512694808,1743.3258841606114,38.218692542763954
2023-08-02,63,3201.53524008218,2046.8203384062394,1772.5163539460525,38.195804725847786
2023-08-03,64,3130.02208973337,2046.452673412535,1794.3070839842385,38.17911937316713
2023-08-04,65,3307.7077900294053,2045.9870499680414,1810.573897058675,38.170158840519555
2023-08-05,66,3172.5682549267126,2045.721197913289,1822.7170977286894,38.16402873873367
2023-08-06,67,3175.296794783355,2045.3449517681179,1831.7820154748667,38.16057120481416
2023-08-07,68,3281.993521482315,2045.157552127295,1838.5489903423638,38.158298263209836
2023-08-08,69,3163.783999234601,2044.8501770554224,1843.6005473602581,38.156975736143885
2023-08-09,70,3205.7132202087464,2044.7232291500538,1847.371542347635,38.15612787775008
2023-08-10,71,3256.054548682458,2044.468923880671,1850.1865958340056,38.15562470974164
2023-08-11,72,3167.3012307905124,2044.3885571138765,1852.288037537761,38.15530720454911
2023-08-12,73,3222.9384245568767,2044.1751458249205,1853.8567669617892,38.15511640613575
2023-08-13,74,4923.0,2919.339,2003.661,40.7
2023-08-14,75,9176.0,5226.6496,3949.3504,43.04
2023-08-15,76,9596.0,5496.5888,4099.4112,42.72
2023-08-16,77,9553.6,5466.56992,4087.03008,42.78
2023-08-17,78,9295.0,5352.9905,3942.0095,42.41
2023-08-18,79,9411.2,5482.96512,3928.23488,41.74
2023-08-19,80,9375.2,5497.61728,3877.58272,41.36
2023-08-20,81,9375.0,5603.4375,3771.5625,40.23
2023-08-21,82,9630.0,5680.737,3949.263,41.01
2023-08-22,83,10477.6,6207.978,4269.622,40.75
2023-08-23,84,6431.5,3804.23225,2627.26775,40.85
